Player,Pos,Tm,G,MP,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%
Garrett Temple\templga01,SG,SAC,65,1728,.545,.509,.171,2.2,10.0,6.1,14.5,2.5,1.5,14.4,14.2
Jason Terry\terryja01,SG,MIL,74,1365,.600,.704,.119,1.3,7.7,4.5,9.9,1.7,1.3,12.3,9.8
Isaiah Thomas\thomais02,PG,BOS,76,2569,.625,.439,.441,1.9,7.0,4.4,32.6,1.4,0.4,10.7,34.0
Lance Thomas\thomala01,PF,NYK,46,968,.516,.348,.209,3.6,12.3,7.9,5.0,1.1,0.4,8.6,13.1
Hollis Thompson\thompho01,SG,TOT,40,752,.482,.475,.145,2.8,13.4,8.0,6.8,1.3,0.6,4.9,13.0
Klay Thompson\thompkl01,SG,GSW,78,2649,.592,.470,.158,2.2,9.2,5.9,9.3,1.2,1.2,8.0,26.1
Tristan Thompson\thomptr01,C,CLE,78,2336,.594,.007,.487,14.0,19.6,16.9,4.6,0.8,2.9,10.8,11.3
Marcus Thornton\thornma01,SG,WAS,33,575,.494,.381,.129,4.3,10.5,7.5,10.1,1.6,0.4,10.1,18.7
Mike Tobey\tobeymi01,C,CHO,2,25,.250,.000,.000,8.7,4.4,6.6,5.4,0.0,0.0,20.0,9.0
Anthony Tolliver\tollian01,PF,SAC,65,1477,.595,.655,.234,4.0,14.5,9.3,7.7,1.1,1.2,12.6,13.6
Axel Toupane\toupaax01,SF,TOT,4,47,.611,.444,.000,0.0,2.3,1.1,0.0,1.0,1.7,0.0,8.5
Karl-Anthony Towns\townska01,C,MIN,82,3030,.618,.186,.289,11.2,27.8,19.4,13.2,1.0,2.9,11.3,27.5
P.J. Tucker\tuckepj01,SF,TOT,81,2236,.516,.407,.193,5.6,17.8,11.6,6.0,2.5,0.7,11.2,11.2
Evan Turner\turneev01,SF,POR,65,1658,.491,.214,.187,2.4,14.2,8.3,18.4,1.6,1.2,14.3,18.5
Myles Turner\turnemy01,C,IND,81,2541,.585,.132,.349,6.2,19.5,13.0,6.6,1.5,6.0,9.5,19.5
Beno Udrih\udrihbe01,PG,DET,39,560,.535,.162,.173,1.1,10.3,5.6,35.4,1.2,0.0,14.9,19.7
Tyler Ulis\ulisty01,PG,PHO,61,1123,.474,.181,.162,1.9,7.5,4.6,30.5,2.0,0.4,14.1,20.3
Jarrod Uthoff\uthofja01,PF,DAL,9,115,.487,.237,.184,7.7,14.8,11.1,12.8,0.9,3.1,6.8,18.1
Jonas Valanciunas\valanjo01,C,TOR,80,2066,.601,.003,.309,12.4,29.1,20.8,4.4,0.9,2.6,11.7,19.5
Denzel Valentine\valende01,SG,CHI,57,976,.492,.722,.063,1.2,15.6,8.3,9.3,1.5,0.6,14.2,15.4
Fred VanVleet\vanvlfr01,PG,TOR,37,294,.443,.261,.198,1.5,14.6,8.1,17.5,2.9,0.6,11.1,20.6
Anderson Varejao\varejan01,C,GSW,14,92,.478,.000,.786,15.3,16.8,16.1,13.0,1.6,2.6,29.8,12.6
Greivis Vasquez\vasqugr01,PG,BRK,3,39,.376,.375,.375,0.0,5.4,2.7,17.5,1.2,1.9,9.7,11.3
Rashad Vaughn\vaughra01,SG,MIL,41,458,.449,.519,.032,1.0,11.3,6.2,7.4,2.1,1.9,8.1,17.2
Noah Vonleh\vonleno01,PF,POR,74,1265,.525,.074,.348,11.4,22.5,17.0,3.4,1.2,1.7,17.1,13.1
Nikola Vucevic\vucevni01,C,ORL,75,2163,.498,.073,.155,8.6,31.2,19.6,16.9,1.8,2.8,9.6,24.8
Sasha Vujacic\vujacsa01,SG,NYK,42,408,.423,.544,.176,3.2,12.4,7.8,17.9,1.6,0.4,9.8,17.3
Dwyane Wade\wadedw01,SG,CHI,60,1792,.508,.152,.294,3.8,12.6,8.2,22.4,2.4,1.8,11.3,29.6
Dion Waiters\waitedi01,SG,MIA,46,1384,.507,.324,.192,1.4,11.0,6.2,23.8,1.5,1.1,12.5,26.3
Kemba Walker\walkeke02,PG,CHO,79,2739,.569,.415,.248,1.8,10.6,6.2,29.1,1.6,0.7,9.5,29.2
John Wall\walljo01,PG,WAS,78,2836,.541,.190,.367,2.3,10.6,6.5,46.9,2.7,1.4,16.2,30.6
Taurean Waller-Prince\princta02,SF,ATL,59,981,.513,.358,.330,2.8,14.6,8.8,8.4,2.2,2.4,15.7,17.2
T.J. Warren\warretj01,SF,PHO,66,2048,.539,.120,.189,6.5,11.7,9.0,5.8,1.8,1.5,6.1,19.2
C.J. Watson\watsocj01,PG,ORL,62,1012,.507,.423,.266,1.7,8.1,4.8,16.1,2.1,0.2,14.5,14.1
Briante Weber\weberbr01,PG,TOT,20,205,.462,.167,.267,4.3,9.6,7.0,15.0,2.9,0.4,10.7,16.3
David West\westda01,C,GSW,68,854,.571,.032,.222,6.4,18.8,13.0,24.1,2.4,4.4,22.0,17.9
Russell Westbrook\westbru01,PG,OKC,81,2802,.554,.300,.433,5.4,28.8,17.1,57.3,2.3,0.9,15.9,41.7
Okaro White\whiteok01,PF,MIA,35,471,.507,.391,.253,5.8,13.5,9.6,6.0,1.1,1.7,15.7,10.8
Isaiah Whitehead\whiteis01,PG,BRK,73,1643,.487,.293,.222,2.1,9.7,5.9,17.7,1.2,1.7,20.3,18.2
Hassan Whiteside\whiteha01,C,MIA,77,2513,.579,.000,.368,12.8,35.3,24.0,3.8,1.1,5.0,12.0,22.7
Andrew Wiggins\wiggian01,SF,MIN,82,3048,.534,.184,.345,3.9,8.8,6.3,10.6,1.4,0.8,9.4,29.0
C.J. Wilcox\wilcocj01,SG,ORL,22,108,.329,.484,.065,3.9,8.3,6.0,15.5,0.9,0.7,15.8,15.4
Alan Williams\willial03,C,PHO,47,708,.547,.004,.419,14.0,31.2,22.4,5.2,1.8,3.7,10.5,20.9
Deron Williams\willide01,PG,TOT,64,1657,.541,.390,.182,0.9,9.4,5.1,35.9,1.0,0.4,17.6,22.1
Derrick Williams\willide02,PF,TOT,50,804,.537,.398,.365,2.6,15.1,8.9,5.1,0.9,0.7,9.0,17.2
Lou Williams\willilo02,SG,TOT,81,1994,.593,.447,.458,1.4,9.9,5.5,19.9,1.9,0.8,11.8,29.1
Marvin Williams\willima02,PF,CHO,76,2295,.551,.503,.213,4.2,19.7,11.9,7.1,1.3,2.0,7.2,16.3
Reggie Williams\willire02,SF,NOP,6,79,.518,.478,.304,2.7,5.4,4.0,7.2,1.9,0.0,0.0,14.6
Troy Williams\willitr02,SF,TOT,30,557,.511,.371,.192,3.0,11.2,7.0,7.0,2.5,1.7,15.4,17.2
Kyle Wiltjer\wiltjky01,PF,HOU,14,44,.437,.929,.143,9.9,14.9,12.4,6.1,3.3,1.8,25.2,19.1
Justise Winslow\winslju01,SF,MIA,18,625,.399,.156,.209,4.0,12.7,8.3,15.5,2.2,0.8,11.8,19.8
Jeff Withey\witheje01,C,UTA,51,432,.588,.010,.466,14.3,17.9,16.2,2.5,1.9,6.0,10.1,14.9
Christian Wood\woodch01,PF,CHO,13,107,.591,.217,.652,14.3,15.5,14.9,2.8,1.4,4.9,19.1,15.4
Metta World Peace\artesro01,SF,LAL,25,160,.380,.559,.235,3.3,10.6,6.8,9.8,2.7,1.0,8.5,21.9
Brandan Wright\wrighbr03,PF,MEM,28,447,.628,.007,.259,7.7,12.4,10.0,6.0,1.3,4.3,6.2,16.3
Delon Wright\wrighde01,PG,TOR,27,446,.535,.259,.474,4.1,8.1,6.1,18.2,3.1,2.1,15.1,16.6
James Young\youngja01,SG,BOS,29,220,.549,.603,.155,3.1,10.0,6.6,2.6,2.3,0.7,6.1,13.3
Joe Young\youngjo01,PG,IND,33,135,.433,.319,.208,0.8,13.1,7.1,18.0,1.5,0.0,6.0,27.8
Nick Young\youngni01,SG,LAL,60,1556,.588,.665,.142,1.7,8.2,4.8,5.8,1.2,0.7,5.1,19.5
Thaddeus Young\youngth01,PF,IND,74,2237,.562,.172,.125,6.7,15.8,11.3,8.4,2.6,1.2,11.7,16.5
Cody Zeller\zelleco01,PF,CHO,62,1725,.604,.002,.442,8.6,17.3,12.9,9.1,1.8,3.0,10.9,15.5
Tyler Zeller\zellety01,C,BOS,51,525,.508,.006,.247,9.2,17.0,13.2,12.2,0.7,3.3,10.2,16.5
Stephen Zimmerman\zimmest01,C,ORL,19,108,.346,.000,.161,10.8,24.9,17.6,5.3,0.9,3.7,8.3,14.8
Paul Zipser\zipsepa01,SF,CHI,44,843,.503,.448,.181,1.9,14.2,8.0,6.1,0.9,1.5,14.4,14.4
Ivica Zubac\zubaciv01,C,LAL,38,609,.547,.013,.206,7.1,21.9,14.3,8.1,1.1,4.4,10.4,20.3
